Donor_ID	Sample_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30	Signature.33	Signature.36	Signature.38	Signature.51	Signature.52	Signature.MMR1	Signature.MMR2	Signature.PLATINUM	Signature.N1	Signature.N2	Signature.N3	Signature.N4	Signature.N5	Signature.N6	Signature.N7	Signature.N8	Signature.N9	Signature.N10	Signature.N11	Signature.N12	del.mh	del.rep	del.none	ins	clustered_del_1-10Kb	clustered_del_10-100Kb	clustered_del_100Kb-1Mb	clustered_del_1Mb-10Mb	clustered_del_>10Mb	clustered_tds_1-10Kb	clustered_tds_10-100Kb	clustered_tds_100Kb-1Mb	clustered_tds_1Mb-10Mb	clustered_tds_>10Mb	clustered_inv_1-10Kb	clustered_inv_10-100Kb	clustered_inv_100Kb-1Mb	clustered_inv_1Mb-10Mb	clustered_inv_>10Mb	clustered_trans	non-clustered_del_1-10Kb	non-clustered_del_10-100Kb	non-clustered_del_100Kb-1Mb	non-clustered_del_1Mb-10Mb	non-clustered_del_>10Mb	non-clustered_tds_1-10Kb	non-clustered_tds_10-100Kb	non-clustered_tds_100Kb-1Mb	non-clustered_tds_1Mb-10Mb	non-clustered_tds_>10Mb	non-clustered_inv_1-10Kb	non-clustered_inv_10-100Kb	non-clustered_inv_100Kb-1Mb	non-clustered_inv_1Mb-10Mb	non-clustered_inv_>10Mb	non-clustered_trans
DO217850	SA542535	866.7591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4651.808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	93	37	214	6	2	0	4	2	2	0	2	2	2	4	4	6	16	2	4	2	0	0	2	0	0	2	0	4	2	2	4	4	4	4	8
DO217864	SA542560	2576.741	1393.06911764617	194.196064367253	0	427.839208445164	0	0	830.689935632704	0	0	0	0	351.640882353744	0	0	0	524.91389155467	2678.428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	293	53	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	4	12	18	4	6	2
DO218139	SA543057	545.0168	1273.91356535743	81.2493022645231	0	336.628	0	0	347.550697735459	0	0	0	0	321.563434642493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	57	16	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	2	0	0
DO218227	SA543206	0	8249.37794979392	0	0	0	0	0	0	0	0	0	0	2082.32205020558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	213	78	237	0	0	3	4	12	4	0	6	4	8	0	6	4	4	14	0	4	0	1	4	6	2	0	2	6	2	6	40	44	14	6	10
DO218351	SA543433	1444.8	0	118.841542987314	0	183.799305535905	0	0	508.35465701266	0	0	0	0	0	0	0	0	225.502494464024	1382.83	0	0	0	0	0	0	0	0	0	0	0	478.2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	249	47	446	0	4	3	2	0	4	2	2	0	0	2	4	12	0	0	0	0	2	7	0	6	0	0	2	0	4	20	28	32	4	4	16
DO218411	SA543541	3030.18	3974.79297804759	166.406813445972	0	1403.557	0	0	711.819086553991	0	0	0	0	1003.32402195217	0	0	0	0	1211.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	270	92	432	10	2	2	10	6	26	4	2	6	0	2	2	2	10	1	10	10	2	0	8	0	8	0	0	6	2	8	18	8	2	5	20
DO218417	SA543550	1563.181	797.470209698087	0	0	0	0	0	0	0	0	0	0	201.298790301865	0	0	0	0	1404.503	0	0	0	0	0	0	0	0	0	0	0	1238.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	122	64	221	2	2	2	21	14	2	2	0	17	6	4	4	6	22	14	12	4	2	2	1	2	6	4	2	1	2	12	12	12	10	8	14
DO218440	SA543590	1581.069	2949.08654505685	656.385221443558	0	735.17602671467	0	0	2807.7427785563	0	0	0	0	744.413454942972	0	0	0	901.983973285045	1962.689	0	0	0	0	0	0	0	0	0	0	0	1645.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	690	186	539	0	0	0	28	100	0	0	0	16	83	0	0	8	30	177	0	14	0	0	6	8	6	0	2	4	13	16	6	14	18	27	8
DO218491	SA543685	0	0	272.709834503061	0	4274.77303901244	0	0	1166.53916549688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1744.17596098787	0	0	0	0	0	1099.808	0	0	0	0	0	1024.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	201	73	186	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	4	0	2	0	0	10	4	2	2	0	0
DO218535	SA543762	3294.273	1818.19908602932	0	0	0	0	0	0	0	0	0	0	458.95291397057	0	0	0	0	5172.073	0	0	0	0	0	0	0	0	0	0	0	913.6596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	654	135	698	10	2	4	4	5	14	2	2	4	10	4	0	6	14	10	34	2	0	2	8	11	6	0	2	6	8	14	14	32	12	4	38
DO218550	SA543785	2159.018	3519.62680074284	0	0	1187.785	0	0	0	0	0	0	0	888.430199256952	0	0	0	0	1932.963	0	0	0	0	0	0	0	0	0	0	0	1088.761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	423	128	370	4	8	6	28	8	10	4	4	12	10	4	6	24	30	9	2	4	2	6	6	6	4	2	6	6	6	18	38	36	12	5	6
DO218695	SA544047	1713.088	644.430942508407	308.887753766051	0	559.572346913796	0	0	1321.29324623388	0	0	0	0	162.668357491554	0	0	0	686.536653085987	4660.799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1527.296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	472	76	1058	0	4	2	6	4	0	0	2	2	12	4	8	4	8	13	9	4	0	0	4	8	6	0	2	4	12	22	44	24	8	11	5
DO45195	SA501637	215.6316	0	68.7027084586532	0	1358.934	0	0	293.881591541331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345.9195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
DO45231	SA501461	0	0	218.287960437746	0	4190.05498084984	0	0	933.745039562206	0	0	0	0	0	0	0	0	326.735534837396	1267.737	0	0	0	0	0	293.195884312712	0	0	0	0	0	878.0493	0	0	0	0	0	810.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	200	92	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	10	6	14	10	4	16
DO45243	SA501490	0	0	278.907178087869	0	5385.04295290758	0	0	1193.04882191207	0	0	0	0	0	0	0	0	372.791558470744	0	0	0	0	0	0	425.677588621633	0	0	0	0	0	0	0	0	0	0	0	1186.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	173	104	187	4	0	6	6	0	0	2	2	4	2	0	2	4	16	2	2	0	2	0	0	0	0	2	2	2	0	6	10	8	2	0	0
DO45245	SA501494	1056.527	844.386515722453	139.090354639921	0	527.054876646694	0	0	594.970645360048	0	0	0	0	213.141484277496	0	0	0	646.641123353102	0	0	0	0	0	0	0	0	0	0	0	0	710.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	163	34	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DO45249	SA501502	0	97.5002265434019	36.2238493722921	0	558.0091	0	0	154.9505506277	0	0	0	0	24.6111734565922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283.7589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	22	7	8	2	2	4	16	24	0	2	6	14	14	6	0	10	30	36	103	2	2	2	2	4	2	2	2	2	6	0	2	6	2	10	21
DO45251	SA501507	466.0331	0	64.6868934811956	0	1144.809	0	0	276.70360651879	0	0	0	0	0	0	0	0	0	468.0354	0	0	0	0	0	0	0	0	0	0	0	456.5222	0	0	0	0	0	315.3607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	74	26	62	4	0	2	0	0	6	2	2	0	0	2	0	4	2	0	2	32	10	0	0	0	46	18	0	0	2	4	0	6	2	4	8
DO45259	SA501526	0	0	363.592711920879	0	10507.2474874225	0	0	1555.29828807904	0	0	0	0	0	0	0	0	747.978512577253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2507.665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	341	124	238	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	0	2	0	0	0	0	0	0	2	0	0	8	2	10	0	0	16
DO45281	SA501578	272.8078	0	106.981191247702	0	1346.052	0	0	457.621008752274	0	0	0	0	0	0	0	0	0	400.7176	0	0	0	0	0	0	0	0	0	0	0	414.7078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	52	29	65	2	0	2	4	0	0	0	2	6	0	6	0	4	12	12	11	8	2	0	4	0	4	4	0	0	0	2	0	4	4	12	19
